benefit_id,initiative_id,benefit_type,description,driver,driver_unit,unit_value,business_case_value,owner_forecast_value,evidence_type,methodology,residual_reason,finance_validated,owner_confirmed,assumption_ids,benefit_owner
AI-001-B1,AI-001,cost_savings,Contact-handling cost reduction,cases deflected or shortened,case,14.0,5400000.0,5400000.0,financial,controlled_test,,True,True,"A-01,A-02","Director, Customer Service Operations"
AI-001-B2,AI-001,productivity,Agent time released for complex cases,agent hours saved,hour,46.0,1600000.0,1550000.0,operational,before_after,incorrect_assumptions,False,True,A-03,"Director, Customer Service Operations"
AI-002-B1,AI-002,revenue,Margin on revenue from improved win-rate,attributed incremental gross margin,$ margin,1.0,2400000.0,2200000.0,financial,attribution_model,benefit_measurement_problem,False,True,"A-04,A-05",VP Sales Operations
AI-002-B2,AI-002,productivity,Forecast preparation time saved,sales-ops hours saved,hour,58.0,800000.0,750000.0,operational,before_after,,False,True,A-06,VP Sales Operations
AI-003-B1,AI-003,cost_savings,Inventory carrying and expedite cost reduction,carrying cost avoided,$ cost,1.0,5000000.0,3640000.0,financial,before_after,technical_constraints,True,True,"A-07,A-08",VP Supply Chain Planning
AI-003-B2,AI-003,revenue,Margin on sales recovered from higher fill-rate,recovered gross margin,$ margin,1.0,2500000.0,1860000.0,financial,attribution_model,incorrect_assumptions,False,True,A-09,VP Supply Chain Planning
AI-004-B1,AI-004,productivity,Close and reconciliation effort released,finance hours saved,hour,62.0,1800000.0,1900000.0,operational,before_after,,True,True,A-10,Group Financial Controller
AI-004-B2,AI-004,cost_savings,Reduced external audit support and contractor spend,contractor spend avoided,$ cost,1.0,600000.0,600000.0,financial,before_after,,True,True,A-11,Group Financial Controller
AI-005-B1,AI-005,cost_savings,Tier-1 service desk cost reduction,tickets auto-resolved,ticket,22.0,3000000.0,3000000.0,financial,controlled_test,,True,True,A-12,Head of IT Service Management
AI-005-B2,AI-005,productivity,Employee downtime avoided,employee hours restored,hour,38.0,600000.0,550000.0,operational,management_estimate,incorrect_assumptions,False,True,A-13,Head of IT Service Management
AI-006-B1,AI-006,productivity,Search and re-work time saved,employee hours saved,hour,41.0,4400000.0,3680000.0,operational,management_estimate,incorrect_assumptions,False,True,"A-14,A-15",Chief People Officer (sponsor)
AI-007-B1,AI-007,risk,Expected loss reduction from faster containment,risk-weighted loss avoided,$ loss,1.0,2000000.0,1760000.0,operational,management_estimate,incorrect_assumptions,False,True,"A-16,A-17",Chief Information Security Officer
AI-007-B2,AI-007,cost_savings,Security operations analyst overtime and MSSP fees avoided,SOC cost avoided,$ cost,1.0,900000.0,840000.0,financial,before_after,,True,True,A-18,Chief Information Security Officer
AI-008-B1,AI-008,cost_savings,"Data-centre, hosting and energy cost reduction",infrastructure cost avoided,$ cost,1.0,6400000.0,6340000.0,financial,before_after,,True,True,"A-19,A-20",VP Infrastructure & Operations
AI-009-B1,AI-009,cost_savings,Unplanned downtime and maintenance cost reduction,maintenance cost avoided,$ cost,1.0,3900000.0,3750000.0,financial,before_after,,True,True,"A-21,A-22","Director, Manufacturing Engineering"
AI-009-B2,AI-009,revenue,Margin on output recovered from higher line availability,recovered gross margin,$ margin,1.0,600000.0,500000.0,financial,attribution_model,benefit_measurement_problem,False,True,A-23,"Director, Manufacturing Engineering"
AI-010-B1,AI-010,revenue,Margin on incremental cross-sell and retained revenue,attributed incremental gross margin,$ margin,1.0,4600000.0,3800000.0,financial,attribution_model,incorrect_assumptions,False,True,"A-24,A-25",Chief Revenue Officer (sponsor)
AI-011-B1,AI-011,productivity,Legal and procurement review time saved,reviewer hours saved,hour,71.0,1200000.0,1200000.0,operational,before_after,,False,True,A-26,General Counsel (sponsor)
AI-011-B2,AI-011,cost_savings,Outsourced document processing avoided,outsourcing cost avoided,$ cost,1.0,900000.0,840000.0,financial,before_after,,True,True,A-27,General Counsel (sponsor)
AI-012-B1,AI-012,productivity,Engineering capacity released,engineer hours saved,hour,78.0,3500000.0,3420000.0,operational,management_estimate,incorrect_assumptions,False,True,"A-28,A-29",VP Engineering Productivity
