initiative_id,name,bu_id,geography,hpe_category,hpe_product_ids,use_case,cluster_id,start_date,planned_go_live,actual_go_live,target_completion,status,budget,users_target,adoption_target,incremental_opex_plan,owner
AI-001,AI Customer Support Copilot,BU-CUS,EMEA,HPE Private Cloud AI,"HPE-PCAI,HPE-NVIDIA,HPE-ALLETRA",Agent-assist and self-service resolution for customer support,PCAI-EMEA-01,2025-09-01,2025-11-30,2025-11-30,2026-03-31,Live,5200000.0,2400,0.85,300000.0,"Director, Customer Service Operations"
AI-002,AI Sales Forecasting,BU-SAL,Americas,HPE GreenLake cloud,"HPE-GL,HPE-PCAI",Machine-learning pipeline forecast and deal-risk scoring,GL-US-01,2025-09-01,2025-12-31,2026-01-31,2026-05-31,Live,2800000.0,900,0.8,100000.0,VP Sales Operations
AI-003,Supply Chain AI Optimisation,BU-SCM,Global,HPE Private Cloud AI,"HPE-PCAI,HPE-NVIDIA,HPE-ALLETRA,HPE-SERVICES","Demand sensing, inventory and logistics optimisation",PCAI-US-01,2025-09-01,2025-12-31,2026-02-28,2026-12-31,Delayed,7250000.0,1100,0.8,0.0,VP Supply Chain Planning
AI-004,Finance Close Copilot,BU-FIN,Global,HPE Private Cloud AI,"HPE-PCAI,HPE-NVIDIA","Reconciliation matching, variance commentary drafting and close checklist automation",PCAI-US-01,2025-10-01,2025-12-31,2025-12-31,2026-04-30,Live,1900000.0,420,0.9,100000.0,Group Financial Controller
AI-005,IT Service Desk AI,BU-TEC,Global,HPE GreenLake cloud,"HPE-GL,HPE-OPSRAMP","Ticket triage, auto-resolution and knowledge suggestions for IT support",GL-US-01,2025-09-01,2025-11-30,2025-11-30,2026-02-28,Live,2100000.0,18000,0.6,200000.0,Head of IT Service Management
AI-006,Enterprise Knowledge Copilot,BU-COR,Global,HPE Private Cloud AI,"HPE-PCAI,HPE-NVIDIA,HPE-ALLETRA","Retrieval-augmented assistant over policies, procedures and technical documentation",PCAI-EMEA-01,2025-10-01,2026-01-31,2026-01-31,2026-06-30,Live,3600000.0,12000,0.7,300000.0,Chief People Officer (sponsor)
AI-007,Cybersecurity AI,BU-TEC,Global,Networking,"HPE-ARUBA,HPE-JUNIPER,HPE-GL",Anomaly detection and alert triage across network and endpoint telemetry,GL-US-01,2025-09-01,2025-12-31,2025-12-31,2026-06-30,Live,3000000.0,160,0.95,200000.0,Chief Information Security Officer
AI-008,AI Infrastructure Optimisation,BU-TEC,Global,AI Infrastructure,"HPE-PROLIANT,HPE-GL,HPE-OPSRAMP","Workload placement, rightsizing and energy optimisation across data-centre estate",GL-APJ-01,2025-09-01,2025-11-30,2025-11-30,2026-03-31,Live,4500000.0,1200,0.9,200000.0,VP Infrastructure & Operations
AI-009,Predictive Maintenance,BU-SCM,APJ,Networking,"HPE-ARUBA,HPE-ALLETRA,HPE-GL",Sensor-based failure prediction for production lines,GL-APJ-01,2025-09-01,2026-01-31,2026-02-28,2026-09-30,Live,3400000.0,650,0.85,200000.0,"Director, Manufacturing Engineering"
AI-010,AI Revenue Intelligence,BU-SAL,Americas,HPE GreenLake cloud,"HPE-GL,HPE-PCAI","Next-best-action, pricing guidance and churn signals for account teams",GL-US-01,2025-09-01,2025-12-31,2025-12-31,2026-06-30,Live,3300000.0,1500,0.8,300000.0,Chief Revenue Officer (sponsor)
AI-011,Document Intelligence,BU-COR,EMEA,HPE Private Cloud AI,"HPE-PCAI,HPE-ALLETRA","Contract, invoice and supplier-document extraction and review",PCAI-EMEA-01,2025-10-01,2025-12-31,2025-12-31,2026-03-31,Live,1500000.0,380,0.9,100000.0,General Counsel (sponsor)
AI-012,AI Developer Productivity,BU-ENG,APJ,AI Infrastructure,"HPE-PROLIANT,HPE-GL,HPE-NVIDIA","Code assistance, test generation and code review support",GL-APJ-01,2025-09-01,2025-11-30,2025-11-30,2026-04-30,Live,2400000.0,2300,0.75,300000.0,VP Engineering Productivity
