source_id,title,publisher,url,date,source_type,topic
SRC-01,HPE to Acquire Juniper Networks to Accelerate AI-Driven Innovation (Jan 2024) and HPE/Juniper settlement with U.S. DOJ (June 2025),U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000114036124001613/ny20018436x1_ex99-1.htm,2024-01-09,press release (filed as Form 8-K exhibits),"Juniper acquisition terms, rationale, Mist AI, DOJ settlement remedies"
SRC-02,Hewlett Packard Enterprise and NVIDIA Announce 'NVIDIA AI Computing by HPE' to Accelerate Generative AI Industrial Revolution,NVIDIA Newsroom,https://nvidianews.nvidia.com/news/hpe-nvidia-ai-computing-generative-ai,2024-06-18,"press release (joint HPE/NVIDIA, retrieved from NVIDIA Newsroom)","HPE Private Cloud AI launch, NVIDIA partnership, OpsRamp AI copilot, HPE Discover 2024"
SRC-03,TOP500 List — November 2024 (64th edition): HPE Cray EX exascale systems,TOP500,https://www.top500.org/lists/top500/2024/11/,2024-11,third-party benchmark list (TOP500) + 10-K,"HPE Cray supercomputing, exascale, HPC/AI heritage"
SRC-04,HPE and Juniper Networks reach settlement with U.S. Department of Justice (8-K Ex. 99.2),U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000114036125024519/ef20051378_ex99-2.htm,2025-06-28,press release,Juniper - DOJ settlement / Mist AI
SRC-05,"Hewlett Packard Enterprise closes acquisition of Juniper Networks to offer industry-leading comprehensive, cloud-native, AI-driven portfolio",U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000114036125024519/ef20051378_ex99-1.htm,2025-07-02,press release (filed as Form 8-K Exhibit 99.1),"Juniper Networks acquisition close, AI-native networking, Mist"
SRC-06,HPE details strategic and execution priorities to drive enhanced shareholder value at HPE Securities Analyst Meeting 2025,U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559025000111/ex-992x10152025x8ksam.htm,2025-10-15,press release (filed as Form 8-K Exhibit 99.2),"strategy, AI infrastructure focus (sovereign/enterprise), GreenLake, Alletra MP, long-term financial targets, Catalyst"
SRC-07,HPE Q4 FY2025 earnings conference call transcript,HPE Investor Relations,https://investors.hpe.com/~/media/Files/H/HP-Enterprise-IR/documents/q4-2025/q4-earnings-transcript-final.pdf,2025-12-04,earnings call transcript,AI systems orders
SRC-08,HPE reports fiscal 2025 fourth quarter results (release) and Q4 FY2025 earnings call,U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559025000126/ex-991x1242025x8k.htm,2025-12-04,earnings release / earnings call transcript,"FY2025 results, ARR, GreenLake customers, AI orders, Private Cloud AI, Alletra MP"
SRC-09,HPE Form 10-K FY2025 — Item 1 Business: strategy and reportable segments,U.S. SEC (EDGAR),https://www.sec.gov/Archives/edgar/data/1645590/000164559025000130/hpe-20251031.htm,2025-12-18,10-K,"business overview, strategy, segments"
SRC-10,HPE Q1 FY2026 earnings conference call transcript,HPE Investor Relations,https://investors.hpe.com/~/media/Files/H/HP-Enterprise-IR/documents/q1-2026/hpe-q1-26-earnings-transcript.pdf,2026-03-09,earnings call transcript,AI backlog
