risk_id,initiative_id,category,title,financial_impact,probability,probability_basis,mitigation,owner,status
R-01,AI-003,Delivery,Integration with planning system delayed go-live by six months,2600000.0,0.7,Owner assessment at FY26 Q4 risk review (not a model prediction),Dedicated integration squad; phased cut-over by region,VP Supply Chain Planning,Open
R-02,AI-003,Financial,GPU capacity added ahead of workload demand,1100000.0,0.8,Owner assessment at FY26 Q4 risk review (not a model prediction),Re-phase capacity; host other workloads on idle GPUs,VP Infrastructure & Operations,Open
R-03,AI-003,Benefit-realisation,"Inventory reduction assumption based on vendor benchmark, not internal pilot",1500000.0,0.5,Owner assessment at FY26 Q4 risk review (not a model prediction),Run controlled test in two distribution centres,Supply Chain finance partner,Open
R-04,AI-006,Adoption,Active usage far below plan outside two business units,2000000.0,0.7,Owner assessment at FY26 Q4 risk review (not a model prediction),Embed in intranet and service portal; manager-led enablement,Chief People Officer,Open
R-05,AI-006,Financial,Public cloud inference cost growing faster than usage,600000.0,0.6,Owner assessment at FY26 Q4 risk review (not a model prediction),Move steady-state inference to private cluster; token budgets,Head of AI Platform,Open
R-06,AI-006,Data,Knowledge sources out of date or duplicated,400000.0,0.5,Owner assessment at FY26 Q4 risk review (not a model prediction),Content ownership model; freshness SLAs,Knowledge Management Lead,Mitigating
R-07,AI-010,Benefit-realisation,Cross-sell uplift revised down from business case,1800000.0,0.6,Owner assessment at FY26 Q4 risk review (not a model prediction),Re-baseline business case; holdout test in two regions,Sales & Commercial finance partner,Open
R-08,AI-010,Regulatory,Pricing-guidance model requires fairness and competition-law review,300000.0,0.3,Owner assessment at FY26 Q4 risk review (not a model prediction),Legal review of guidance rules; human approval of price changes,General Counsel,Mitigating
R-09,AI-002,Benefit-realisation,Revenue attribution method not agreed with Finance,900000.0,0.5,Owner assessment at FY26 Q4 risk review (not a model prediction),Agree attribution method; finance sign-off before recognition,FP&A,Open
R-10,AI-007,Benefit-realisation,Risk-reduction value based on management estimate of expected loss,1000000.0,0.5,Owner assessment at FY26 Q4 risk review (not a model prediction),Independent risk quantification; track incident metrics,CISO,Open
R-11,AI-007,Security,Model and prompt-injection exposure in alert triage,500000.0,0.2,Owner assessment at FY26 Q4 risk review (not a model prediction),Red-team testing; human approval of containment actions,CISO,Mitigating
R-12,AI-012,Benefit-realisation,Productivity hours not converted into roadmap delivery or cost,1200000.0,0.5,Owner assessment at FY26 Q4 risk review (not a model prediction),Track throughput and cycle time; capacity redeployment plan,VP Engineering Productivity,Open
R-13,AI-012,Vendor,Public cloud pricing changes for code-assistant inference,300000.0,0.4,Owner assessment at FY26 Q4 risk review (not a model prediction),Committed-use agreement; private hosting option,Head of AI Platform,Open
R-14,AI-001,Regulatory,EU AI Act transparency obligations for customer-facing assistant,200000.0,0.3,Owner assessment at FY26 Q4 risk review (not a model prediction),Disclosure notices; conformity documentation,Data Protection Officer,Mitigating
R-15,AI-001,Technology,Model drift reduces deflection rate,400000.0,0.3,Owner assessment at FY26 Q4 risk review (not a model prediction),Monthly evaluation set; retraining cadence,Head of AI Platform,Mitigating
R-16,AI-009,Data,Sensor coverage incomplete on older production lines,500000.0,0.4,Owner assessment at FY26 Q4 risk review (not a model prediction),Retrofit sensors on priority lines,"Director, Manufacturing Engineering",Open
R-17,AI-008,Technology,Workload moves create performance incidents,200000.0,0.2,Owner assessment at FY26 Q4 risk review (not a model prediction),Change windows; automated rollback,VP Infrastructure & Operations,Closed
R-18,AI-004,Regulatory,Audit acceptance of AI-assisted reconciliations,200000.0,0.3,Owner assessment at FY26 Q4 risk review (not a model prediction),Control documentation; reviewer sign-off retained,Group Financial Controller,Mitigating
R-19,AI-005,Adoption,Regional service desks bypass AI triage,200000.0,0.3,Owner assessment at FY26 Q4 risk review (not a model prediction),Routing rules; weekly adoption review,Head of IT Service Management,Closed
R-20,AI-011,Vendor,Document-model licence renewal price uplift,100000.0,0.4,Owner assessment at FY26 Q4 risk review (not a model prediction),Multi-year pricing; open-model fallback,Procurement,Open
